+----------+------------------+------------------+--------------------+
|  ref_date|         close_usd|        close_euro|euro_rolling_average|
+----------+------------------+------------------+--------------------+
|2013-04-28| 134.2100067138672|155.68360778808594|  155.68360778808594|
|2013-04-29| 144.5399932861328|167.66639221191406|             161.675|
|2013-04-30|             139.0|161.23999999999998|              161.53|
|2013-05-01|116.98999786376953|135.70839752197264|  155.07459938049317|
|2013-05-02|105.20999908447266|122.04359893798828|  148.46839929199217|
|2013-05-03|             97.75|113.38999999999999|   142.6219994099935|
|2013-05-04|             112.5|             130.5|  140.89028520856584|
|2013-05-05|115.91000366210938|134.45560424804685|  137.85771327427454|
|2013-05-06|112.30000305175781|130.26800354003905|  132.51508632114954|
|2013-05-07|             111.5|            129.34|  127.95794346400669|
|2013-05-08|113.56600189208984|131.73656219482422|   127.3905384172712|
|2013-05-09|112.66999816894531|130.69719787597654|   128.6267668369838|
|2013-05-10|117.19999694824219|135.95199645996092|   131.8499091884068|
|2013-05-11|115.24299621582031|133.68187561035154|  132.30446284702845|
|2013-05-12|             115.0|133.39999999999998|   132.1536622401646|
|2013-05-13| 117.9800033569336|136.85680389404297|  133.09491943359373|
|2013-05-14|             111.5|            129.34|  133.09491943359373|
|2013-05-15|114.22000122070312|132.49520141601562|  133.20329646519252|
|2013-05-16|118.76000213623047|137.76160247802733|  134.21249712262832|
|2013-05-17|123.01499938964844|142.69739929199218|   135.1761260986328|
+----------+------------------+------------------+--------------------+
